Tarefa,categoria,cliente,descrição,Legenda,prazo,Dia,Hora,prioridade,responsável,status,Inspiração,Link entrega
CARROSSEL 03: Por que seu concorrente vende mais barato?,carrossel,LTV,"Slide 1 (Capa): [Texto grande] Como o seu concorrente consegue vender mais barato do que você PAGA no produto? [Visual: Imagem de duas calculadoras, uma com saldo positivo, outra negativo]
Slide 2: [Texto] Você já se perguntou como aquela marca concorrente consegue fazer promoções tão agressivas e ainda assim não quebrar?
Slide 3: [Texto] A resposta não é mágica, é ""Sourcing"". Enquanto você folheia catálogos de distribuidores locais, o seu concorrente tem uma linha direta com a fábrica na Ásia.
Slide 4: [Texto] Eles operam no modelo ""White Label"". Compram direto da fonte, colocam a própria marca no produto e eliminam todos os atravessadores.
Slide 5: [Texto] Eles não têm um produto melhor. Eles têm uma ENGENHARIA LOGÍSTICA melhor. E é exatamente isso que a LTV constrói para os clientes.
Slide 6 (Último/CTA): [Texto] Pare de tentar vencer a guerra de preços com as armas erradas. Estruture sua importação com a LTV. 📈
Legenda: Preço na ponta é reflexo de inteligência na base. Se você compra mal, vai vender mal. O segredo das marcas que lideram o mercado brasileiro hoje é a importação direta de ponta a ponta. Quer saber como implementar isso no seu negócio?",,22/04/2026,quarta-feira,,alta,Viviane,Finalizado,,G:\Meu Drive\Gasmaske\Clientes\LTV+comexblog\LTV\CARROSSEL\Por que seu concorrente vende mais barato\images
Reunião,Operacional,Gasmaske,Gustavo Venturini,,22/04/2026,,19:00:00,Baixa,Junior,Finalizado,,
"CARROSSEL 03: A Armadilha do Frete Barato (Cuidado com CIF)
",carrossel,Comexblog,"Slide 1 (Capa): [Texto grande] A Armadilha do Frete Chinês ""Incluso"". [Subtítulo] Por que o barato sai muito caro no porto de destino. [Visual: Ratoeira com um navio de brinquedo como isca]
Slide 2: [Texto] A Oferta Irrecusável: O fornecedor chinês te oferece a mercadoria no Incoterm CIF (com frete e seguro pagos até o Brasil) por um valor absurdamente barato. Você aceita achando que fez o negócio do ano.
Slide 3: [Texto] O Golpe Oculto: O frete internacional estava barato porque o agente de cargas na China jogou todo o custo operacional (e o lucro dele) para as taxas locais de destino no Brasil.
Slide 4: [Texto] A Surpresa Desagradável: Quando a carga chega no porto brasileiro, o agente de cargas nacional te cobra taxas abusivas de desconsolidação, capatazia e liberação de BL. Muito acima do mercado.
Slide 5: [Texto] A Solução: Negocie no Incoterm FOB! Assim, você contrata o seu próprio agente de cargas no Brasil, negocia todas as taxas locais com antecedência e tem controle total da logística.
Slide 6 (Último/CTA): [Texto] Não deixe o fornecedor controlar a sua logística. Compartilhe esse alerta com quem compra direto da Ásia! 🚨
Legenda: Sabe aquela história de que não existe almoço grátis? No Comex, não existe frete grátis (ou absurdamente barato) na modalidade CIF. 🚢 O que você economiza na origem, vai pagar em triplo nas taxas locais abusivas do agente no Brasil. Controle sua operação: compre FOB e contrate o frete você mesmo! Deslize e entenda a armadilha. \n\n💸 Você já caiu nessa pegadinha das taxas de destino?
",,22/04/2026,,,alta,Viviane,Finalizado,,images
revisão ,Video,Mineiro,Arrumar Broll,,22/04/2026,,,alta,Junior,Finalizado,,
Criar pasta,Operacional,Full Gaz,,,22/04/2026,,,Media,Junior,Finalizado,,
Gerar Formulario,Social,Full Gaz,,,22/04/2026,,,alta,Viviane,Finalizado,,https://forms.gle/YAFWPoZH1cLojw9UA
Organizar Fotos e videos,Operacional,Full Gaz,,,22/04/2026,,,Media,Junior,Finalizado,,
Dentista,Pessoal,Gasmaske,,,22/04/2026,,17:00:00,alta,Junior,Finalizado,,
Roteiro,Social,Cabral,"Criar roteiiro da nova loja, são 2 videos",,22/04/2026,,,alta,Junior,Finalizado,,Roteiros Maio - Dom Cabral 
Captação,Video,Aline,,,23/04/2026,,,Media,Viviane,Finalizado,,
testar o metricool,Operacional,Gasmaske,ja loguei com a conta da gasmaske,,23/04/2026,,,alta,Viviane,Finalizado,,
